#,Title,Channel,Duration,Words,Topic,Score,Reason
1,"SpaceX IPO, Iran War Fallout, Quantum Bitcoin Hack, The Space Opportunity",All-In Podcast,75min est,15033,Space & Aerospace,12.5,High signal (score 12.5). Topic: Space & Aerospace
2,"Salesforce CEO on Microsoft Blocking OpenAI Investment, AI Scapegoating, OpenClaw, and Regulation",Matthew Berman,28min est,5764,AI & Machine Learning,12.2,High signal (score 12.2). Topic: AI & Machine Learning
3,What the New ChatGPT 5.4 Means for the World,AI Explained,19min est,3907,AI & Machine Learning,12.2,High signal (score 12.2). Topic: AI & Machine Learning
4,"Anthropic's Generational Run, OpenAI Panics, AI Moats, Meta Loses Major Lawsuits",All-In Podcast,75min est,15176,AI & Machine Learning,12.0,High signal (score 12.0). Topic: AI & Machine Learning
5,Gemini 3.1 Pro and the Downfall of Benchmarks: Welcome to the Vibe Era of AI,AI Explained,17min est,3533,AI & Machine Learning,11.5,High signal (score 11.5). Topic: AI & Machine Learning
6,The Two Best AI Models/Enemies Just Got Released Simultaneously,AI Explained,17min est,3444,AI & Machine Learning,11.5,High signal (score 11.5). Topic: AI & Machine Learning
7,"Two AI Models Set to “stir government urgency”, But Will This Challenge Undo Them?",AI Explained,14min est,2923,AI & Machine Learning,11.5,High signal (score 11.5). Topic: AI & Machine Learning
8,Deadline Day for Autonomous AI Weapons & Mass Surveillance,AI Explained,11min est,2293,AI & Machine Learning,11.5,High signal (score 11.5). Topic: AI & Machine Learning
9,Dylan Patel — The single biggest bottleneck to scaling AI compute,Dwarkesh Patel,158min est,31759,AI & Machine Learning,11.2,High signal (score 11.2). Topic: AI & Machine Learning
10,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #494,Lex Fridman,120min est,24118,AI & Machine Learning,11.2,High signal (score 11.2). Topic: AI & Machine Learning
11,Terence Tao – How the world’s top mathematician uses AI,Dwarkesh Patel,82min est,16591,AI & Machine Learning,11.2,High signal (score 11.2). Topic: AI & Machine Learning
12,AI News: Anthropic Leak Shows Us The Future of AI,Matt Wolfe,30min est,6161,AI & Machine Learning,11.2,High signal (score 11.2). Topic: AI & Machine Learning
13,Google’s New AI Just Broke My Brain,Two Minute Papers,6min est,1201,AI & Machine Learning,11.2,High signal (score 11.2). Topic: AI & Machine Learning
14,NVIDIA’s New AI Just Changed Everything,Two Minute Papers,5min est,1199,AI & Machine Learning,11.2,High signal (score 11.2). Topic: AI & Machine Learning
15,"NVIDIA's $1 Trillion Prediction, Anthropic Beats OpenAI, Tesla vs. TSMC & The CS Job Collapse | 240",Peter Diamandis,122min est,24420,AI & Machine Learning,11.0,High signal (score 11.0). Topic: AI & Machine Learning
16,OpenClaw: The Viral AI Agent that Broke the Internet - Peter Steinberger | Lex Fridman Podcast #491,Lex Fridman,154min est,30950,AI & Machine Learning,10.8,High signal (score 10.8). Topic: AI & Machine Learning
17,"The Companies Changing Warfare Forever: Palantir & Anduril Execs on Drones, AI & the Future of War",All-In Podcast,73min est,14708,Geopolitics & World Affairs,10.8,High signal (score 10.8). Topic: Geopolitics & World Affairs
18,François Chollet: Why Scaling Alone Isn’t Enough for AGI,Y Combinator,54min est,10839,AI & Machine Learning,10.8,High signal (score 10.8). Topic: AI & Machine Learning
19,AI Is Unlocking Millions Of New Builders,Y Combinator,47min est,9498,AI & Machine Learning,10.8,High signal (score 10.8). Topic: AI & Machine Learning
20,DeepMind’s New AI Just Changed Science Forever,Two Minute Papers,7min est,1516,AI & Machine Learning,10.8,High signal (score 10.8). Topic: AI & Machine Learning
21,DeepSeek Just Fixed One Of The Biggest Problems With AI,Two Minute Papers,7min est,1458,AI & Machine Learning,10.8,High signal (score 10.8). Topic: AI & Machine Learning
22,Dario Amodei — “We are near the end of the exponential”,Dwarkesh Patel,144min est,28816,Geopolitics & World Affairs,10.5,High signal (score 10.5). Topic: Geopolitics & World Affairs
23,Michael Nielsen – How science actually progresses,Dwarkesh Patel,119min est,23876,Geopolitics & World Affairs,10.5,High signal (score 10.5). Topic: Geopolitics & World Affairs
24,"Why Leonardo was a saboteur, Gutenberg went broke, and Florence was weird – Ada Palmer",Dwarkesh Patel,114min est,22869,Geopolitics & World Affairs,10.5,High signal (score 10.5). Topic: Geopolitics & World Affairs
25,AI News: Anthropic Went Crazy This Week!,Matt Wolfe,32min est,6428,AI & Machine Learning,10.5,High signal (score 10.5). Topic: AI & Machine Learning
26,This Startup Catches Fraud at Scale,Y Combinator,29min est,5831,Business & Startups,10.5,High signal (score 10.5). Topic: Business & Startups
27,The most important question nobody's asking about AI.,Dwarkesh Patel,23min est,4681,Geopolitics & World Affairs,10.5,High signal (score 10.5). Topic: Geopolitics & World Affairs
28,BillionToOne Is Solving One of Biotech’s Hardest Problems,Y Combinator,18min est,3664,Technology & Software,10.5,High signal (score 10.5). Topic: Technology & Software
29,Inside The Startup Reinventing The $6 Trillion Chemical Manufacturing Industry,Y Combinator,12min est,2573,Business & Startups,10.5,High signal (score 10.5). Topic: Business & Startups
30,OpenAI Just Killed Sora,Matt Wolfe,11min est,2370,AI & Machine Learning,10.5,High signal (score 10.5). Topic: AI & Machine Learning
31,AI + Synthetic Biology: The Most Transformative Technology in Human History | Ben Lamm (Colossal),Peter Diamandis,35min est,7017,AI & Machine Learning,10.2,High signal (score 10.2). Topic: AI & Machine Learning
32,Tragic mistake... Anthropic leaks Claude’s source code,Fireship,7min est,1485,AI & Machine Learning,10.2,High signal (score 10.2). Topic: AI & Machine Learning
33,"Rick Beato: Greatest Guitarists of All Time, History & Future of Music | Lex Fridman Podcast #492",Lex Fridman,134min est,26870,AI & Machine Learning,10.0,High signal (score 10.0). Topic: AI & Machine Learning
34,But what is a Laplace Transform?,3Blue1Brown,31min est,6359,AI & Machine Learning,10.0,High signal (score 10.0). Topic: AI & Machine Learning
35,The Hairy Ball Theorem,3Blue1Brown,28min est,5711,AI & Machine Learning,10.0,High signal (score 10.0). Topic: AI & Machine Learning
36,Why Laplace transforms are so useful,3Blue1Brown,21min est,4362,AI & Machine Learning,10.0,High signal (score 10.0). Topic: AI & Machine Learning
37,Khabib vs Lex: Training with Khabib | FULL EXCLUSIVE FOOTAGE,Lex Fridman,7min est,1405,AI & Machine Learning,10.0,High signal (score 10.0). Topic: AI & Machine Learning
38,This Physics Breakthrough Looks Impossible,Two Minute Papers,6min est,1343,AI & Machine Learning,10.0,High signal (score 10.0). Topic: AI & Machine Learning
39,The Algorithm That Made Me Cry,Two Minute Papers,3min est,666,AI & Machine Learning,10.0,High signal (score 10.0). Topic: AI & Machine Learning
40,BREAKING: Claude Code source leaked,Theo - t3.gg,44min est,8881,AI & Machine Learning,9.8,High signal (score 9.8). Topic: AI & Machine Learning
41,We need to talk about the Claude Code rate limits,Theo - t3.gg,35min est,7024,AI & Machine Learning,9.8,High signal (score 9.8). Topic: AI & Machine Learning
42,AI News: Every Major Announcement From This Week,Matt Wolfe,34min est,6957,AI & Machine Learning,9.8,High signal (score 9.8). Topic: AI & Machine Learning
43,Claude Code is unusable now,Theo - t3.gg,26min est,5286,AI & Machine Learning,9.8,High signal (score 9.8). Topic: AI & Machine Learning
44,I got DMCA'd by Anthropic (not a joke),Theo - t3.gg,17min est,3536,AI & Machine Learning,9.8,High signal (score 9.8). Topic: AI & Machine Learning
45,Claude Code was just leaked... (WOAH),Matthew Berman,13min est,2646,AI & Machine Learning,9.8,High signal (score 9.8). Topic: AI & Machine Learning
46,"Four CEOs on the Future of AI: CoreWeave, Perplexity, Mistral, and IREN",All-In Podcast,92min est,18481,Business & Startups,9.5,High signal (score 9.5). Topic: Business & Startups
47,"Uber vs. Tesla, Robotaxi Timelines, and the End of Human Driving | Uber CEO Dara Khosrowshahi | #243",Peter Diamandis,30min est,6091,Business & Startups,9.5,High signal (score 9.5). Topic: Business & Startups
48,"Uber’s Robotaxi Playbook, End of Human Driving & $10B Bet on Robots | Dara Khosrowshahi (Uber CEO)",Peter Diamandis,27min est,5568,Business & Startups,9.5,High signal (score 9.5). Topic: Business & Startups
49,The Secret Spy Tech Inside Every Credit Card,Veritasium,26min est,5392,Technology & Software,9.5,High signal (score 9.5). Topic: Technology & Software
50,The Universe Is Racing Apart. We May Finally Know Why.,PBS Space Time,14min est,2941,Space & Aerospace,9.5,High signal (score 9.5). Topic: Space & Aerospace
51,Most of Reality Is Invisible. We May Finally Be About to Reveal It.,PBS Space Time,14min est,2892,Space & Aerospace,9.5,High signal (score 9.5). Topic: Space & Aerospace
52,Martian Soil Is Deadly. And That's Why It Might Support Life.,PBS Space Time,14min est,2881,Space & Aerospace,9.5,High signal (score 9.5). Topic: Space & Aerospace
53,The Universe Tried to Hide the Gravity Particle. Physicists Found a Loophole.,PBS Space Time,13min est,2711,Space & Aerospace,9.5,High signal (score 9.5). Topic: Space & Aerospace
54,Something Disturbing Happens When You Solve Einstein's Equations This Way,PBS Space Time,10min est,2171,Space & Aerospace,9.5,High signal (score 9.5). Topic: Space & Aerospace
55,Google just dropped Gemma 4... (WOAH),Matthew Berman,7min est,1551,Technology & Software,9.5,High signal (score 9.5). Topic: Technology & Software
56,the worst man in tech,The Primeagen,5min est,1171,Technology & Software,9.5,High signal (score 9.5). Topic: Technology & Software
57,Anthropic just released the real Claude Bot...,Fireship,5min est,1016,AI & Machine Learning,9.5,High signal (score 9.5). Topic: AI & Machine Learning
58,"Elon Enters the Chip Race, the S&P 500 Repricing, and Human Drivers Will Become Illegal | EP #242",Peter Diamandis,114min est,22885,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
59,Google Just Dropped a Quantum Bomb on Crypto,Bankless,60min est,12148,Technology & Software,9.0,High signal (score 9.0). Topic: Technology & Software
60,"We Need To Figure This Out Now... Or We're In Trouble (Oil, Markets, Crypto)",Bankless,56min est,11306,Finance & Crypto,9.0,High signal (score 9.0). Topic: Finance & Crypto
61,This Factory Makes The World's Most Expensive Stuff,Veritasium,47min est,9455,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
62,The Internet Was Weeks Away From Disaster and No One Knew,Veritasium,46min est,9346,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
63,I’m serious.,Theo - t3.gg,42min est,8520,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
